epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5008.25,0.51886,0.44183,1.45303,0.94144,0.87143,0.93174,0.85816,0.58767,0.83631,1.62337,0.000511769,0.000511769,0.000511769
72,5080.18,0.47702,0.43404,1.5101,0.97677,0.86394,0.91587,0.86521,0.58455,0.8786,1.62196,0.000495266,0.000495266,0.000495266
73,5151.8,0.49747,0.4259,1.51014,0.97574,0.86454,0.92533,0.87683,0.5679,0.86616,1.58864,0.000478762,0.000478762,0.000478762
74,5222.64,0.48413,0.41304,1.60958,0.98961,0.83097,0.92737,0.87119,0.58035,0.86614,1.6615,0.000462259,0.000462259,0.000462259
75,5295.14,0.42683,0.40463,1.47192,0.94871,0.89524,0.93426,0.889,0.5887,0.78426,1.67597,0.000445756,0.000445756,0.000445756
76,5364.82,0.46554,0.38712,1.49508,0.98788,0.88762,0.93047,0.88785,0.59258,0.80831,1.61074,0.000429253,0.000429253,0.000429253
77,5437.91,0.45464,0.41337,1.55422,0.98778,0.89524,0.93047,0.88941,0.57294,0.83542,1.57008,0.000412749,0.000412749,0.000412749
78,5508.12,0.42448,0.37316,1.45546,0.982,0.89524,0.93378,0.88808,0.54746,0.84885,1.55951,0.000396246,0.000396246,0.000396246
79,5578.29,0.47199,0.41895,1.46615,0.96199,0.89524,0.96277,0.90107,0.54116,0.76511,1.57079,0.000379743,0.000379743,0.000379743
80,5650.15,0.44366,0.36024,1.38145,0.95346,0.88936,0.95985,0.90476,0.48838,0.7725,1.54479,0.000363239,0.000363239,0.000363239
81,5720.48,0.4037,0.36605,1.40592,0.91213,0.91229,0.95746,0.90839,0.47576,0.75048,1.51949,0.000346736,0.000346736,0.000346736
82,5791.48,0.46524,0.39897,1.44118,0.91327,0.92461,0.95828,0.91334,0.47137,0.73595,1.516,0.000330233,0.000330233,0.000330233
83,5861.73,0.45984,0.40239,1.45481,0.91415,0.91481,0.95712,0.89616,0.49318,0.7418,1.54084,0.000313729,0.000313729,0.000313729
84,5933.83,0.46274,0.39544,1.42137,0.9096,0.91905,0.95794,0.89524,0.52424,0.77926,1.5621,0.000297226,0.000297226,0.000297226
85,6006.36,0.4727,0.40967,1.51043,0.94574,0.86877,0.94607,0.88825,0.55519,0.81027,1.57662,0.000280723,0.000280723,0.000280723
86,6078.02,0.45382,0.38696,1.41731,0.91463,0.91326,0.96111,0.87986,0.56086,0.86723,1.56499,0.00026422,0.00026422,0.00026422
87,6149.67,0.4602,0.40492,1.51275,0.91903,0.89227,0.94709,0.88511,0.57104,0.94971,1.64455,0.000247716,0.000247716,0.000247716
88,6222.33,0.45732,0.40028,1.42201,0.98013,0.85164,0.94745,0.90117,0.53192,0.93736,1.62609,0.000231213,0.000231213,0.000231213
89,6294.36,0.46988,0.3855,1.46872,0.99028,0.85381,0.94245,0.89817,0.52744,0.94175,1.60858,0.00021471,0.00021471,0.00021471
90,6367.9,0.43421,0.37299,1.46563,0.97011,0.88188,0.94328,0.8971,0.53955,0.94028,1.60958,0.000198206,0.000198206,0.000198206
91,6437.25,0.36759,0.33221,1.43266,0.99439,0.8688,0.95673,0.89448,0.53396,0.9897,1.58518,0.000181703,0.000181703,0.000181703
92,6506.2,0.3293,0.2948,1.43624,0.98857,0.89524,0.95669,0.89276,0.5591,1.02127,1.63088,0.0001652,0.0001652,0.0001652
93,6578.38,0.327,0.30473,1.42309,0.98523,0.88647,0.95669,0.89111,0.57206,1.00449,1.63212,0.000148696,0.000148696,0.000148696
94,6647.92,0.31304,0.29279,1.33712,0.93751,0.90068,0.95564,0.89193,0.58865,1.00504,1.63337,0.000132193,0.000132193,0.000132193
95,6718.23,0.3053,0.28749,1.31853,0.93308,0.89524,0.9548,0.89459,0.57517,1.07841,1.61905,0.00011569,0.00011569,0.00011569
96,6789.5,0.29961,0.29347,1.27048,0.96188,0.89524,0.95564,0.89197,0.59065,0.96755,1.6524,9.91865e-05,9.91865e-05,9.91865e-05
97,6860.83,0.30093,0.26959,1.28711,0.95832,0.89409,0.95895,0.89372,0.58662,0.95723,1.63364,8.26832e-05,8.26832e-05,8.26832e-05
98,6933.33,0.31141,0.28498,1.39239,0.95411,0.89401,0.95982,0.89591,0.57048,0.9396,1.59744,6.61799e-05,6.61799e-05,6.61799e-05
99,7003.85,0.30923,0.27387,1.37154,0.95213,0.89354,0.95964,0.89506,0.57711,0.91135,1.61003,4.96766e-05,4.96766e-05,4.96766e-05
100,7075.43,0.30265,0.28143,1.37027,0.95123,0.89353,0.96001,0.88999,0.58567,0.87686,1.62658,3.31733e-05,3.31733e-05,3.31733e-05
